,content
20,RT @naito_yosuke: ＃みんな大好き陰謀論
21,オルヴァリオくん「ちゃんと水分補給してて偉いな。え？俺は水飲みたくないけど………」
22,情報器官としての脳に大きな負担をかける！
23,俺はそうませろだ！せとじゃないぞ！
24,"何かがここにはあると
僕は思っていたいの
だってそうじゃなきゃ「今」と 
さよならは悲しすぎるよ

ララバイ/RADWIMPS"
25,悪いことは大体やってる
26,"RT @otomezaka_azusa: 出勤しました💗
20時までいます(ᐡɞ̴̶̷  ̫ ɞ̴̶̷ᐡ)

最近また豆乳ブームが自分の中できてる https://t.co/mKL9hk4nXq"
27,"｢ピストル｣
攻撃力:10
攻撃範囲:単体
属性:通常
名前がカッコいい武器
リボルバー派かオートマチック派で議論になりそう(小並感) #メタルシリーズの武器を紹介"
28,個人的には、M気質で奉仕したい側の人が好きだから、軽く依存してくれて自分のデブグロマンコにしか勃起しなくて、どんなプレイでも喜んでちんぽ勃てるような同様の変態をペットにしたい
29,@bs____k グルテンフリー♫
30,"@ebH27hH2US55BLW のあちゃんおはまこ✩.*˚
ストレッチいいね！
俺もやってみようかな🤔"
31,RT @white613like: 必至に盛れた胸を見せてくるオオカミ姉さん🐺💗 https://t.co/MD8TBtwbKf
32,【大阪マリオット都ホテル】新しいスタイルで楽しむ 19階ライブキッチン「COOKA」をオープン https://t.co/mFQl14VBB7 @PRTIMES_JPより
33,こういう関係の二人組いくらでも食えてしまう   ほんとすきすき
34,眠いけどそろそろ行かねばならぬ
35,@arisu_arisu2715 に、逃げてないよ❗️|дﾟ)ﾁﾗｯ 遠くから見てるよ❗️www
36,RT @ga_die: 小樽がコロナのせいでもう限界なことは理解した https://t.co/obDxY1FFxh
37,"劉備
「 おいらの名が天下に鳴り響いても
おいらの命は名のないあんたの命とおんなじだー！！」
https://t.co/1Jr4zAHqJY"
38,"@F506i うんにゃ。

メーカーによるが、最近のクルマはついてくる…はず。"
39,"RT @shimesaba_2gou: フォロワー、4000越えてました。

皆様ご協力ありがとうございます。

しかし、以前の十万まではまだまだ遠いので、是非ともフォロー&amp;拡散宜しくお願い致します。

七海ティナ新Instagramアカウント
https://t.co/1mX…"
40,"RT @najynajy410: 🍬こっちは普通のプレゼント企画🍬

🍬応募条件🍬
フォロー＆RT
Amazonギフト券1500円2名様❣️

当選者様にはメンション有りますw
❣️締切7月28日15時❣️
受け取りツイート必須

＃Amazonギフト券
＃プレゼント企画 ht…"
41,"LINE追加      LINEトーク
カカオ追加  カカオトーク

～ 彼女募集中 ～
～ 仲良くなりたい

LINEしませんか
LINEトークしませんか

カカオしませんか
カカオトークしませんか

ID 教えてほしい
QRコ… https://t.co/ixUzfV4rJf"
42,"RT @Isseki3: レジャーや娯楽を不要不急というのは、レジャー産業や娯楽産業に従事している方にとっては侮辱である！

人間にとってレジャーや娯楽はなくてはならないものだ！"
43,二度寝したら10時半だった
44,RT @webronza: [43] 「感情」や「通念」で切り崩される人権保障 - 稲葉剛｜論座 - 朝日新聞社 #国民感情 #生活保護 #社会通念 #貧困 https://t.co/Z4x23wcnVe
45,"RT @nhk_news: 秋田県では明け方に1時間でおよそ100ミリの猛烈な雨が降ったとみられ、一部の川で氾濫が発生しました。東北と新潟県では29日朝にかけて局地的に1時間に50ミリ以上の非常に激しい雨が降るおそれがあり、土砂災害や川の氾濫などに警戒が必要です。
https:…"
46,RT @M_uu418: 突然のハプニングにテンパってとんでも無いことを言ってしまうギャルな妹 https://t.co/gp4KH8bF7j
47,"@1985tigers いつもお客さん多いよなー。
昼間はガラガラの隣のメガネ屋さんの駐車場が、夜になると娘のお客さんの車でいっぱいになってたりするw
私はたまにしか行かないけど、9割がた高菜弁当しか買わない。"
48,@regimechangebot 成果出してます。日本破壊工作に邁進する新自由主義者の橋下徹を正しく批判しています(笑)
49,コロナの影響で労働環境が大きく変わって、それが続くなら辞めるとかコロナ落ち着いたら辞めるって人がちらほら。まぁ労働時間増えて給料そんなに増えないならそうなるよねって
50,"RT @yourclip_life: フォント制作会社『株式会社モリサワ』のデザイナーはどんな仕事をしているのか？
知られざるフォント制作の世界を解き明かします。

教えてモリサワさん！ 文字をつくる仕事って、どんなことをするの？
https://t.co/8YTHotYbbC…"
51,"【定期】どうも！とりたつです！絵描くの好きです！
ボカロ曲の創作絵描いたり、模写したりしてます。
ちゃんとアニメとかも見てますw
良ければフォローとかしていただければ・・・いいなと思いますw
＃絵描きさんと繋がりたい 
＃絵描きさんはRT"
52,穏便に殺して
53,"RT @livedoornews: 【今月17日】県独自のアラート当日、神奈川知事が野球観戦「感染対策見に行った」
https://t.co/e7PBDhzVWC

知事は県民に感染注意を呼びかけた直後、球場に向かったが、「遊びに行ったのではない」との認識を示した。県によると、…"
54,[20]Latimerの電位図(potential diagram)において、電極電位には加算が成立していない。これはどのように説明されるか。
55,可愛い子ばっかりRTしてる刺してもいい対象、、？？
56,マリちゃん音楽の日もMステも深深とお辞儀するのがかわいくてかわいくてかわいくて､､､仕方がねぇ(真顔)
57,TOLAND VLOGの投稿動画を楽しみましょう！#TikTok https://t.co/fP4BTiyaK5
58,@BaTaN_QxQ フェロモン染みてない？
59,"サバナクローのCMが流れたことによって盛り上がってトレンド入りは分かるけど、一切公表のこの字もないオクタヴィネルがトレンド入りするのは草
更にハーツラビュルからサバナクローに切り替わるまでの日数計算して、次のオクタヴィネルの仮日算出するのも面白すぎるでしょ…"
60,"先着5名まで🌸

楽天モバイル紹介キャンペーン✨

申込時2000ポイントもらえます🌸✨

YVwnY6Wb5eQZ

互いに個人情報が伝わる事はありません。

#楽天モバイル
#楽天アンリミット
#楽天モバイル紹介コード https://t.co/O0qa2cCKht"
61,"RT @donki_donki: ＼#ｍajica 会員様 1,000万人突破記念 #キャンペーン／

31日連続！
フォロー&amp;RTで毎日10名様、合計310名様にmajicaギフト券1,000円分がその場で当たる！！
7/1～7/31まで毎日がチャンス！

majicaキャン…"
62,今の段階でどこまで進んでるのが理想的なのか全くわからん
63,"RT @paradoxlive_PR: 📢雑誌情報📢
『アニメディア』8月号🎶
間もなく7/29に発売となる4thCDについて、BAE＆The Cat’s Whiskersのキャスト陣×それぞれの作詞をご担当のMICROさん、SIMONさんとの対談が実現🎼
CD発売前にこの記事…"
64,@sato0505 たぶん片手打ちながら慣れべれるから効率は最強かも笑
65,"ジジi…もとい　そんな高齢男性(女性も然り)の現象に名前を付けたい😑＞RT
リプでそれぞれの業界の苦労話があって
自分も元信販会社勤務だったのでセクハラ系はほとんどなかったなぁ

でもお金が絡むのでトラブルの時は半端なかったけど"
66,"RT @terai_ScooP: キラキラすな

#キングオブキングス宇都宮店
#寺やる371話
#写真撮影は12時と15時にやるやで https://t.co/V0soKzkQyn"
67,@Kan__1015 じゃろ笑なにがあったんかね笑
68,RT @irucakoto: しらなかった。
69,@AsrockJ 先越されたww
70,地毛でやる人もいるよな〜って見てて思った　地毛ちょっと長めだし　かわいい服が好きだけどロックかわいいやつ(?)も見つけてかわいいな……と思っていたので……
71,どうせ超凝縮されためちゃデカ台風で尋常じゃない被害が出るんやろな
72,"RT @T_shira_2828: おはようございます😃

またバンを喰らいました😡

政権批判にバン
政権擁護や他国侮蔑や差別は容認

呟き社、おかしくね⁉️⁉️😡

暫く可愛いニャンズRT中心となりまし

オレは記念すべき20回目のバンだわ😆"
73,ソファってた
74,RT @itukinotora: 早く見たいわねぇ https://t.co/15AIVZcXj7
75,"RT @kinokomaru_kun: 第五人格復帰するけど
自分の知ってる第五人格の運営は相変わらずですかね https://t.co/rent7jY9E2"
76,"RT @oomurayasaketen: #地獄杜氏
さかやもんさんが醸した

yamaΦlimited555

売約もあるので
残り6本となりました。

#司牡丹
生酛船中八策と並べると

アカレンジャー
ミドレンジャー https://t.co/KM7btPZW18"
77,"RT @yousuck2020: 前澤友作がYouTubeやってるの知ってますか？

↓ここから見てくれたら嬉しいです😆
https://t.co/YYn1e69vtH"
78,可能世界の中で、まさにこの今、私のドッペルゲンガーも全く同じことをつぶやいている。同じことが、なぜこんなに違うのか？　この違いは何か？　ネルケ無方二号もそれに驚いているのだろうけど、彼の驚き、彼の問いなどどうでもいい（と、まさにこの瞬間、これを読んでいるあなたにも思ってほしい！）
79,"男は度胸、女は愛嬌、囚人は妥協
#男は度胸_女は愛嬌_あなたは #shindanmaker
https://t.co/Gy50EG4gn5
正解ヽ(´ｴ`)ﾉ"
80,猫 https://t.co/GusjSD0UbN
81,"@tos
ハロスイ　交換

お譲り🌸
画像1枚目(Sレア)
画像2枚目(Rの髪ほっぺまゆ、など人気そうな物だけピックアップしました)
その他お探しのものをご提案ください

求め🌸画像3枚目、またはご提案
現行はダブり目的が多いです… https://t.co/YDOqGzk1nJ"
82,オンラインテストはチーム戦だよ！って言ってた友達から試験開始後返信がなくなった。
83,RT @triplebunny7h: 呑気な学校の先生「そちらの娘の〇〇ちゃん、去年までは大人しくて静かな子でしたけど。今年になってからはとても明るく元気になりましたね。クラスの男の子たちとも仲良くお喋りするようになりましたし……あ、今日なんて予めプール学習の水着を服の下に着て…
84,"RT @svtpinwheel: NAUL / 같은 시간 속의 너（同じ時間の中の君）

この名失恋歌を1時過ぎに起きているオタクめがけて投下してくるプロデューサー....この時間にこの曲は... https://t.co/Hk0xljX9cn"
85,"RT @Fw_marimoppu: 🔥間違いさがし🔥

 #まりもっぷ間違いさがし

左は正しいイラスト

右は５つの間違いがあるよ

見つけれるかな？

お __ 👑 __ は
   (👁👃👁)
 ✋  .👄     🤚      おはもっぷ❤️
          🌕…"
86,メーカーダオのロックされた担保資産、総額が過去最高の10億ドルを突破 https://t.co/OkuCJsG34d
87,"RT @i_am_aya88: 全力で歌います
今 綺ができることは、やっぱり歌うことしかないです

当日、新曲も3曲披露します
絶対ぜったいゼッタイ後悔させません！！

お待ちしております！！

チケット予約受付中です⏬

#綺 #ワンマン #restart #シンガーソング…"
88,"RT @famima_now: 💥食べマス ドラゴンボール超💥本日発売💥
食べた感想は、 #ファミマスイーツ部 で教えてください💥"
89,"さらっとRTしちゃったけど
今日なんちゃってヤンキーの誕生日なのか笑"
90,"上司「コロナ陰性の証明になるものとかって無いかな」
私「検査受けられないから証明しようがなくないです…？逆に会社としては何なら証明になりえるんですか？」
上司「なんだろうねぇ………」

えぇ〜…？？？？？"
91,RT @Yurukuyaru: エクアドルでは街中でマスクをしていないとこんな辱めを受けるらしい https://t.co/SKc55wFJJH
92,RT @piepiepipie: ちかりこ https://t.co/xdPaIHn6Hm
93,"RT @gofunbyakko: 「もっと使って！胡粉ネイル2020」毎日当たるキャンペーン🎯

本日は「青りんご」※限定色
ｼﾞｭｰｼｰでフレッシュなアップルグリーン。
締切は24時

①＠gofunbyakkoをフォロー
②この投稿をリツイート
で応募完了！
詳しくはhtt…"
94,RT @satoriwappa: 顔修正 https://t.co/pJWf0P6eBD
95,RT @ruby__kurosawa_: もうすぐ千歌ちゃんの誕生日 https://t.co/uThx51BFsk
96,RT @tocho_kichi: 7/28、北関東防衛局より、横田基地広報部からの情報提供として「現在、横田基地コミュニティの一員である人物が、７月２６日に新型コロナウィルス感染症（COVID-19）に陽性であることがわかった。この人物は、羽田空港において受けたPCR テストの…
97,"RT @beatink_jp: 出来上がったTシャツを送ったらさっそく着てくれたローレンちゃん…！😭😭💘

CHVRCHES日本限定Tシャツ、受注生産オンリーで発売スタート！！お見逃しなく💨
https://t.co/8JJqT0Ccf0 https://t.co/NpVZxn…"
98,ピル続けようかやめようか迷うなぁ
99,"あの

@rhjijiss 

放置で1日１万円は凄すぎです笑
おかげで生活がラクになりました。

今週はサプリ買ってみます(๑`·ᴗ·´๑)

☆

✔投資
✉仕事辞めたい
▶稼ぐ"
100,FGOに触れてなかったら円卓の騎士がアスカロン使うのはおかしい事に気付けなかったのでやばい
101,@01626_ じゃあ今から書くか描いても怒られないんですね...！？
102,RT @amibot: 愛は人生においてもっとも必要なものである。賢者はその秘密をしっていて、ただ”愛”だけを探した。ほかの人はそれを知らないから”外”ばかりを探した。
103,RT @JajacircleS: 強烈に「バズの悪魔」の気配を感じたので見に行ってみたら案の定だったし、もう会社やめてました https://t.co/UJu2TAq6lh
104,"RT @onegai_tanuki: 断固…反対する！

こんなことに頼らんと成り立たん『商店街』なら…いらん！

この件に加担する…
『政党』も…『政治家』も…
金輪際、支持せんぞ！👊 https://t.co/IeNGZa5tLr"
105,"RT @yukawareiko: それでは、今夜最後の呟きです。
#布マスクもう要りません"
106,"RT @handai_fs: 今週は小鉢で大人気のメニュー、
「さっぱり揚げ出し茄子」の作り方です。
そばつゆが無ければめんつゆでも大丈夫です！
とっても簡単なので、ぜひ作ってみてください！！
＃おうちで生協食堂 https://t.co/piqV14716T"
107,"RT @nutageademio90s: 個性的なS13コンバーチブルの新着中古車を発掘！こちらの個体はビックリ仰天！レクサスLCのネイプルスイエローに色替されています！走行は128,000キロ、4AT、ボディカラー以外はノーマルが保たれています！ https://t.co/k…"
108,"@Sakuraimochi110 ご応募ありがとうございます！
残念はずれ…！

でも！はずれた方にも【先着100万名】に
「ファミチキ（骨なし）20円割引券」をプレゼント中！
※予定引換数に達し次第、Famiポートでの発券はでき… https://t.co/NOOQMEs8gI"
109,"RT @okuno2: #タイ沼実況_DBK にて #sunmork に堕ちてきた方、どれくらいるのだろう

Mork役の #GawinCaskey くんはSNS無精なのでこんなに出てくるのは珍しいのです

 #PlapoddSuphakorn さんとGawinのインターファン…"
110,"@koter_etoukaoru ありがとだにゃあ🐱❤️
お互いいい一日にしようにゃあ！"
111,RT @all_nations2: は？は？は？と思ってるうちに出来あがるアート https://t.co/oCRUPzfNNg
112,"RT @mitrasphere_pr: 【８が付く日は #ウパの日！】
本日7/28(火)23:59まで！ウパの日限定でミトラス公式TwitterをフォローしてこのツイートをRTした人の中から抽選で8名様に「ネキアメダル×2000」をプレゼントするのじゃよ(*‘∀‘)　#ミトラ…"
113,チョコチョコモーモー
114,"@nanana777___ ご応募ありがとうございます！
残念はずれ…！

でも！はずれた方にも【先着100万名】に
「ファミチキ（骨なし）20円割引券」をプレゼント中！
※予定引換数に達し次第、Famiポートでの発券はできなくな… https://t.co/FmxW63sznV"
115,RT @SEN1227: ピーター・シンコダがジェフ・ローブのアジア人軽視を告発した件。実際デアデビル作中であれだけ日本人キャラのウェイトがあったにも関わらず、日本人から見るとストレスに感じるくらい脚本、演者ともに日本語がメタメタだったのからして、然るべき指導者を現場に入れない…
116,"RT @nanairo_co2: 🎁プレゼント企画🎁

奏音かのんちゃんが選んでくれたお土産を１名様に🎵

▼応募方法
1⃣@nanairo_co2 をフォロー
2⃣@kanade_cmore をフォロー
3⃣このツイートをリツイートで応募完了！
8月3日9時〆切

※リプライ…"
117,"財布紛失…ぴえん

ルブタンbye-bye👋"
118,RT @n_ovo23: ああ… https://t.co/v4ZNJ8Sr6p
119,"RT @DAMch_Official: ／
🎤🎮PS4本体と専用カラオケマイクが当たる🎮🎤
＼

抽選で1名様になんと‼︎
PS4本体と専用カラオケマイクが当たる🎁

#PS4 で #おうちカラオケ を楽しもう✨🏠

🚨応募方法🚨
1️⃣@DAMch_Officialをフォロー…"
120,"RT @Hyoketsu_KIRIN: 【#氷結レモンセット が当たる🎁】

#あっつい夏には氷結レモンキャンペーン ♪

#氷結超冷感レモン ＆ #氷結ストロング塩レモン
まだ飲んでない‼なんてもったいない💨

お早めにお試しください😍

👇参加は簡単2ステップ
①@Hyok…"
121,"このアプリだと髪色ピンクみたいにフィルターかかってるのね
実際はもっと茶色です。 https://t.co/jkYz8eT7dh"
122,と、思ったらｱｲｴ https://t.co/DSa0IECyaI
123,たこちゃん楽しみ〜たこしみ〜
124,漫画ってどこで売ったらいいんだろう…どうせ捨てようと思ってたからブックオフの出張買取でいいかな？？？多少金になればいいくらいだし…
125,"@yotti0215tt ガチじゃん
スパチャ程々に制御することをオススメしとくよ
(スパチャじゃないけど去年だいぶ投げた←)"
126,RT @e_k_e__: るぅきぃめろがいんとゼンリー交換しました 監視します😎😎😎😎😎
127,RT @ANitpicker: ヴィクトリア時代の「壁ドン」。この時代、扇の持ち方に意味があったらしく、どうも「閉じた扇を左手で軽く持つ」＝「私、婚約してるの」て意味らしいんだけど、それが本当ならこの図はMajiでFuraれる5秒前、ということになりますね。　＃壁ドン　＃ヴィク…
128,#日本#大阪#東京 🙊😄 https://t.co/baIJnfkA3N
129,おはよう かしら
130,@DISCUPSON 食わせてやるから来い
131,RT @metsa_utakata: なんとなく、自分なりの12星座の構想練ってます https://t.co/RyDbMWeogx
132,"RT @Hayasaka_P: かつてとあるイベントのキルラキルトークコーナーで
「アイドルマスターシンデレラガールズで新田美波やってる洲崎綾です！」 
「アイドルマスターDSで日高舞やってる柚木涼香です！」 
「アイドルマスターはやってないけどデカマスターやってる稲田徹です！…"
133,"@09aMP2 おは吉！！

眠すぎるなぁ！！"
134,"RT @twst_jp: 【TVCM情報】
本日より、フルアニメーションで描かれた新TVCM映像が放映されます。
第1弾はハーツラビュル寮です。
是非ご覧ください。

 #ツイステ #ディズニー #twistedwonderland https://t.co/RhXz5nM983"
135,"RT @arashi_info: 2020/07/27 #嵐SNSまとめ
【Twitter】
https://t.co/2YpqQZhvRf
https://t.co/TprtttGAzr

【Instagram】
※ストーリー更新
https://t.co/XjhnIJXnz…"
136,#日本#大阪#東京 🙊😄 https://t.co/bSORySRvQ0
137,おっパブクラスターというパワーワード
138,"RT @Hinaki0102: 私は現在高校生で、5年前は小学生でした。
学校ではずっと絵だけ描いて家でも絵だけ描きました。 
時間は10時間からたくさん描く時は 18時間位休みの日には休みませんでした。"
139,"○周年記念とか○○DL記念とかのガシャ産キャラって強キャラってよりかは尖ったキャラってイメージだけど、5周年白哉はちょっと強すぎて笑える(笑)

#ブレソル5周年"
140,RT @llh_haru: タクシーの運転手さんに「雨だし、どうしても出勤が億劫で、自分の機嫌をとるために贅沢しちゃいました」と言ったら「いいですねえ、私なんて今日はもう休んじゃおうかと思いましたよ」とワッハッハと笑い、「でもお昼にいつも寄るいいパン屋があって、そこに行くために…
141,"RT @stb365: 🙂毎日プレゼント企画🙂

✨100〜500円分✨
•スタバギフト券
•Amazonギフト券
•iTunesコード🆕
•Googleコード🆕

応募
☑︎フォロー
☑︎リツイート

⭐️サイト登録ありません
⭐️当選者も必ずツイートで発表

✅LINEでも…"
142,"RT @satoniya_: 【第五人格】30万人突破記念プレゼントコーナー✨【IdentityⅤ】

✨10名様に好きなサバイバーをプレゼント✨
✨詳細は画像にて！✨

チャンネルの数が30万人を突破しました…
いつもありがとうね！
ささやかなお返しです✨

今後ともよろしく…"
143,"@chinatsucoscos 間違いない！！
カランコロン•*¨*•.¸¸♬︎

ミックスサンドと
ミックスジュースで😂👍

もしくは
ミックスサンドと
アイスコーヒーで😂👍"
144,"@fu_gu_sashimi ご応募ありがとうございます！
残念はずれ…！

でも！はずれた方にも【先着100万名】に
「ファミチキ（骨なし）20円割引券」をプレゼント中！
※予定引換数に達し次第、Famiポートでの発券はできなく… https://t.co/kytvZuiyD1"
145,"なんで目逸らすの！！！！！！
@Ai_sanSBC"
146,"chobi_round
今日の天気:曇時々雨 最高気温30度
ツイート数:43(前日比:+19)
RTした数:7(前日比:0)
RTされた数:0(前日比:0)
送ったリプライ数:18(前日比:+9)"
147,"てっちとめちゃくちゃイチャイチャしたい人は４人います。うち１人が変態のフォロワーさんです。
#めちゃくちゃイチャイチャ #shindanmaker
https://t.co/I6ioYrZErS

変態さん誰ですか〜"
148,雨さあ…
149,"野良猫にご飯あげてます。
朝の四時に三匹来てくれます。"
150,"@totora_totora おはよー^_^
お疲れモードです。
何もしてないのに…
今日は憂鬱なのです。"
151,@mopimopi114 ないですー！！！
152,"@Ryo_rsgr うれぴ！！あり！
もう1キャラ出したい笑"
153,"@ftb_9bic うん！！🥺💖
え、話そ？！💖
DM行く🏃🏻‍♀️💨"
154,頭ずっと痛くてご飯ポテチとモンスターで済ませてたら3日で5キロ減った
155,twstくんやっぱりフィギュア出すんだ……来ると思ってたけど、、、欲しいなぁ、、
156,梅雨明けないから、作業場の なんでもない安物ティッシュが、鼻セレブ化してる。
157,"RT @TOWER_Namba: 【#ジェジュン】
ついに明日は『Love Covers II』『J-JUN LIVE 2019～Love Covers～』の入荷日です!!!
ご予約まだ間に合います👀

さらに、難波店ではパネル展を開催いたします🙌✨

お近くにお越しの際はぜひ…"
158,RT @Masayoshi_Oishi: どんなニュースねん https://t.co/3kVLd4DIEA
159,covid-19 の誤情報を質す医師たち https://t.co/1MGp0qfeFs
160,なにかお得なパック来ないと課金する気にならんな🙄
161,"RT @shirakamifubuki: んぇぇ…😩
オクタヴィネルのCMとかきちゃったら床で寝暴れるヾ(&gt;ω&lt;ヾﾉ三ヽ^ｼ&gt;ω&lt;)ﾉｼ"
162,@RunKgMelon るんちゃんがそう願うならなりますよ
163,ﾊﾞﾘﾊﾞﾘﾀﾞｰｰｰ!!!!
164,RT @wenodrecords: 【予約開始】万寿 - Cool Down [CD] 【販売店舗限定】8月19日発売 「HOOLIGANZに所属するラッパー：万寿（マンジュ）による最新EP「Cool Down」が発売決定！！話題のトークボクサー：Kzyboost、盟友：TAK…
165,"@_momona___ ももな、おはよう！
リプありがとう😊"
166,"RT @monpoke_jp: ＼本日最終日‼️／ 

#モンポケ 最新アイテムが当たる🎁
『はじめてのピカチュウ 
おえかきボード（セガトイズ）』が
抽選を7名様にプレゼント✨

応募方法 👶
①@monpoke_jpをフォロー
②このツイートをRT🔁

7/28 23:59…"
167,RT @R_Ap8_: もう見てくれたかな？🥰
168,@runa_bike0814 こんにちは。ナップスカフェの脇でバイク並べていたあの場面を含んだモトブログを今夜公開します。お楽しみに。(^-^)
169,"RT @yuki1126sv: ツンデレ
#野崎くんのクソコラ遊戯 https://t.co/yuBc8JkIZ0"
170,「ちゃんと確認してから送ろうね」って言いたいだけなのにそこ突っ込まれましても？？の気持ち
171,RT @rnrnyz: あべのハルカスの展望台からの景色は大阪を知っていれば知っているほどより楽しめる景色であって、大阪を知らない人が見ても「高所からの景色」以上の感想が出ないらしく、なるほどなと腑に落ちたな
172,RT @arimoto_kaori: 私はあの番組、パンダ以外にも何度も出演しております。それと、百田さんは地上波ではNGワードはけっして言いません。百田さんの元職は放送作家。タレントさんやナレーターが喋る原稿を何十年も書いてきた方ですから、実は放送禁止ワードには誰よりも詳しい…
173,@omen_rider1 うたう大竜宮城とコラボ https://t.co/y3NjqH5cjy
174,かわいい！！3コマ https://t.co/qdrSHiN8sO
175,金の使いみち考えろよ ちっちゃいマスクいらんやろ 間が抜けとおるは
176,RT @takarin___7: 【韓国超反日映画、鳳梧洞】松木國俊「笑みを浮かべた日本兵が無防備な老人子供女性を銃で撃ち刀で切りなぶり殺しにしてレイプされる女性も。殺された子どもを泣いて抱く母親を見て笑い転げる日本兵も描かれている。日本軍の冷酷無比な少佐を北村一輝が演じる」…
177,"RT @magatama_111: ヘルエスタ高校に思いを馳せています…
(⚠️妄想甚だしい) https://t.co/qDr61rIXX0"
178,"@Nogitomo_Erika 2番を希望します！！
 よろしくお願いしますm(_ _)m"
179,"RT @tkn77syc: 本日18時からYouTubeで愛知発のガールズユニット TEAM SHACHIの無料配信あります！ブラスの生音も魅力のライブパフォーマンスお楽しみに！
#シャチZERO #TEAMSHACHI
【無料視聴 / 無観客ライブ配信 】TEAM SHACH…"
180,（そうか、今日から全行程の試運転が始まるのか・・。（TLで楽しむ
181,"医療従事者の皆さまへ
この度のコロナ禍の対応への緊張・ご苦労を慮り、市井の市民として心より感謝しています。
さて、活動開始から1か月が経過し、
1か月を目標に始めた「医療従事者向け感謝割引」です。
たくさん... 詳しくは… https://t.co/dZQrtsBbm6"
182,"あの子が卒業して早一年経ちましたねぇ。。。
このツイートもポーズもしてから1年。。
時とはあっという間なものです。。。( ´-` ) https://t.co/yqzhUyf790"
183,エアコン修理費私もちよな？死にたくなってきた……
184,ばぶぅー
185,"RT @ace40_vanilla: 動画作りました～🤩
よかったら見てくださいね～😊

メルカリでFFⅣ・Ⅴ・Ⅵ（アドバンス版）を購入の巻【ステイホームショッピング#01】 https://t.co/eEiZ6UXzwM @YouTubeより https://t.co/YXh…"
186,RT @parasitology_as: 北海道の都市部では野良の犬猫がほとんどいなくなって、空いたニッチはキツネに占められました。都市のキツネ urban fox と呼ばれています。ある公園でエゾヤチネズミのエキノコックス感染を毎月１回調べています。キツネが住み着けば、感染ネ…
187,@yuuu1012es あういう顔が塩顔って言うんですか？？( *´•ω•`*)/
188,"@x_ReXion_x やりましょ！
何時くらいからできそうですか？"
